nameRu,nameOriginal,nameEn,ratingKinopoisk,ratingImdb,kinopoiskId,imdbId,type,year,posterUrl,posterUrlPreview,countries,genres
Возвращение Мухтара,,,4.8,5.2,325796,tt0959425,TV_SERIES,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/325796.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/325796.jpg,['Россия'],"['криминал', 'детектив']"
Комната,The Room,,4.8,3.7,38653,tt0368226,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/38653.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/38653.jpg,['США'],"['драма', 'мелодрама']"
Кот,The Cat in the Hat,,4.6,4.0,8065,tt0312528,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/8065.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8065.jpg,['США'],"['приключения', 'фэнтези', 'комедия', 'семейный']"
Тупой и еще тупее тупого: Когда Гарри встретил Ллойда,Dumb and Dumberer: When Harry Met Lloyd,,4.3,3.4,308,tt0329028,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/308.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/308.jpg,['США'],['комедия']
Особенности национальной политики,,,5.0,4.6,77228,tt0396781,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/77228.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/77228.jpg,['Россия'],['комедия']
Розыгрыш,,,5.0,4.8,405632,tt0899202,TV_SHOW,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/405632.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/405632.jpg,['Россия'],"['комедия', 'реальное ТВ', 'ток-шоу']"
Бетховен 5,Beethoven's 5th,,4.9,4.2,13305,tt0342108,VIDEO,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/13305.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/13305.jpg,['США'],"['приключения', 'комедия', 'семейный']"
Детки подросли,All Grown Up!,,5.0,5.5,230675,tt0387714,TV_SERIES,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/230675.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/230675.jpg,['США'],"['драма', 'комедия', 'мультфильм', 'семейный']"
Восставший из ада 8: Адский мир,Hellraiser: Hellworld,,4.3,4.2,103497,,VIDEO,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/103497.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/103497.jpg,"['США', 'Румыния']","['триллер', 'ужасы']"
Королевская битва 2,Batoru rowaiaru II: Chinkonka,,4.9,4.7,47206,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/47206.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/47206.jpg,['Япония'],"['триллер', 'драма', 'фантастика', 'боевик']"
Восставший из ада 7: Армия мертвецов,Hellraiser: Deader,,4.6,4.5,103498,,VIDEO,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/103498.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/103498.jpg,"['США', 'Румыния']","['триллер', 'детектив', 'ужасы']"
"Осторожно, модерн! 2004",,,4.9,,471046,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/471046.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/471046.jpg,['Россия'],"['комедия', 'мюзикл']"
Улицы разбитых фонарей 5,,,5.0,3.0,470823,,TV_SERIES,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/470823.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/470823.jpg,['Россия'],"['драма', 'криминал', 'детектив', 'приключения', 'боевик']"
Блич,Bleach,,,,506186,tt13391446,FILM,,https://kinopoiskapiunofficial.tech/images/posters/kp/506186.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/506186.jpg,[],"['триллер', 'приключения', 'боевик', 'фэнтези']"
Обыск и свидание,Room Raiders,,4.7,4.2,452717,tt0395409,TV_SHOW,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/452717.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/452717.jpg,['США'],"['мелодрама', 'комедия', 'реальное ТВ', 'игра']"
Перевал Дятлова,,,,,851868,,FILM,,https://kinopoiskapiunofficial.tech/images/posters/kp/851868.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/851868.jpg,['Россия'],"['триллер', 'драма', 'история']"
29 пальм,Twentynine Palms,,4.7,5.2,39925,tt0315110,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/39925.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/39925.jpg,"['США', 'Франция', 'Германия']",['драма']
Снежная королева,,,4.2,,436176,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/436176.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/436176.jpg,['Украина'],['мюзикл']
Спаун,Spawn,,,,409197,tt1206546,FILM,,https://kinopoiskapiunofficial.tech/images/posters/kp/409197.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/409197.jpg,['США'],"['триллер', 'драма', 'фантастика', 'приключения', 'боевик', 'фэнтези', 'ужасы']"
Даша Васильева. Любительница частного сыска: Крутые наследнички,,,4.0,,453285,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/453285.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/453285.jpg,['Россия'],['детектив']
nameRu,nameOriginal,nameEn,ratingKinopoisk,ratingImdb,kinopoiskId,imdbId,type,year,posterUrl,posterUrlPreview,countries,genres
Возвращение Мухтара,,,4.8,5.2,325796,tt0959425,TV_SERIES,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/325796.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/325796.jpg,['Россия'],"['криминал', 'детектив']"
Комната,The Room,,4.8,3.7,38653,tt0368226,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/38653.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/38653.jpg,['США'],"['драма', 'мелодрама']"
Кот,The Cat in the Hat,,4.6,4.0,8065,tt0312528,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/8065.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8065.jpg,['США'],"['приключения', 'фэнтези', 'комедия', 'семейный']"
Тупой и еще тупее тупого: Когда Гарри встретил Ллойда,Dumb and Dumberer: When Harry Met Lloyd,,4.3,3.4,308,tt0329028,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/308.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/308.jpg,['США'],['комедия']
Особенности национальной политики,,,5.0,4.6,77228,tt0396781,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/77228.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/77228.jpg,['Россия'],['комедия']
Розыгрыш,,,5.0,4.8,405632,tt0899202,TV_SHOW,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/405632.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/405632.jpg,['Россия'],"['комедия', 'реальное ТВ', 'ток-шоу']"
Бетховен 5,Beethoven's 5th,,4.9,4.2,13305,tt0342108,VIDEO,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/13305.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/13305.jpg,['США'],"['приключения', 'комедия', 'семейный']"
Детки подросли,All Grown Up!,,5.0,5.5,230675,tt0387714,TV_SERIES,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/230675.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/230675.jpg,['США'],"['драма', 'комедия', 'мультфильм', 'семейный']"
Восставший из ада 8: Адский мир,Hellraiser: Hellworld,,4.3,4.2,103497,,VIDEO,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/103497.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/103497.jpg,"['США', 'Румыния']","['триллер', 'ужасы']"
Королевская битва 2,Batoru rowaiaru II: Chinkonka,,4.9,4.7,47206,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/47206.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/47206.jpg,['Япония'],"['триллер', 'драма', 'фантастика', 'боевик']"
Восставший из ада 7: Армия мертвецов,Hellraiser: Deader,,4.6,4.5,103498,,VIDEO,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/103498.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/103498.jpg,"['США', 'Румыния']","['триллер', 'детектив', 'ужасы']"
"Осторожно, модерн! 2004",,,4.9,,471046,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/471046.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/471046.jpg,['Россия'],"['комедия', 'мюзикл']"
Улицы разбитых фонарей 5,,,5.0,3.0,470823,,TV_SERIES,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/470823.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/470823.jpg,['Россия'],"['драма', 'криминал', 'детектив', 'приключения', 'боевик']"
Блич,Bleach,,,,506186,tt13391446,FILM,,https://kinopoiskapiunofficial.tech/images/posters/kp/506186.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/506186.jpg,[],"['триллер', 'приключения', 'боевик', 'фэнтези']"
Обыск и свидание,Room Raiders,,4.7,4.2,452717,tt0395409,TV_SHOW,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/452717.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/452717.jpg,['США'],"['мелодрама', 'комедия', 'реальное ТВ', 'игра']"
Перевал Дятлова,,,,,851868,,FILM,,https://kinopoiskapiunofficial.tech/images/posters/kp/851868.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/851868.jpg,['Россия'],"['триллер', 'драма', 'история']"
29 пальм,Twentynine Palms,,4.7,5.2,39925,tt0315110,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/39925.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/39925.jpg,"['США', 'Франция', 'Германия']",['драма']
Снежная королева,,,4.2,,436176,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/436176.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/436176.jpg,['Украина'],['мюзикл']
Спаун,Spawn,,,,409197,tt1206546,FILM,,https://kinopoiskapiunofficial.tech/images/posters/kp/409197.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/409197.jpg,['США'],"['триллер', 'драма', 'фантастика', 'приключения', 'боевик', 'фэнтези', 'ужасы']"
Даша Васильева. Любительница частного сыска: Крутые наследнички,,,4.0,,453285,,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/453285.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/453285.jpg,['Россия'],['детектив']
nameRu,nameOriginal,nameEn,ratingKinopoisk,ratingImdb,kinopoiskId,imdbId,type,year,posterUrl,posterUrlPreview,countries,genres
Возвращение Мухтара,,,4.8,5.2,325796,tt0959425,TV_SERIES,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/325796.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/325796.jpg,['Россия'],"['криминал', 'детектив']"
Комната,The Room,,4.8,3.7,38653,tt0368226,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/38653.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/38653.jpg,['США'],"['драма', 'мелодрама']"
Кот,The Cat in the Hat,,4.6,4.0,8065,tt0312528,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/8065.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8065.jpg,['США'],"['приключения', 'фэнтези', 'комедия', 'семейный']"
Тупой и еще тупее тупого: Когда Гарри встретил Ллойда,Dumb and Dumberer: When Harry Met Lloyd,,4.3,3.4,308,tt0329028,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/308.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/308.jpg,['США'],['комедия']
Особенности национальной политики,,,5.0,4.6,77228,tt0396781,FILM,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/77228.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/77228.jpg,['Россия'],['комедия']
Розыгрыш,,,5.0,4.8,405632,tt0899202,TV_SHOW,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/405632.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/405632.jpg,['Россия'],"['комедия', 'реальное ТВ', 'ток-шоу']"
Бетховен 5,Beethoven's 5th,,4.9,4.2,13305,tt0342108,VIDEO,2003,https://kinopoiskapiunofficial.tech/images/posters/kp/13305.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/13305.jpg,['США'],"['приключения', 'комедия', 'семейный']"
